pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,soc,bank,pscore,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
788.8741641386587,0.0,0.0,0.0,0.2966899537795209,Rainy,5.0,788.8741641386587,0.0,0.0,162.27998011570241,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
407.7266484269635,0.0,0.0,0.0,0.2966899537795209,Rainy,2.478807080057229,407.7266484269635,0.0,0.0,541.8672608009505,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
417.337455935548,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4702771555473717,417.337455935548,0.0,0.0,533.4048358111945,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
423.6638682836522,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4643879728997424,423.6638682836522,0.0,0.0,525.1281613429162,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
422.69519547510134,0.0,0.0,0.0,0.2966899537795209,Rainy,2.465304062974714,422.69519547510134,0.0,0.0,527.4779840998444,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
1133.7128454061049,0.0,0.0,0.0,0.2966899537795209,Rainy,5.0,949.6886455292158,0.0,0.0,0.0,184.02419987688904,0.0,0.0,55.97580012311096,0.0,0.0,0.0,10.0
557.9748233874407,0.0,0.0,0.0,0.2966899537795209,Rainy,2.399948341461098,557.9748233874407,0.0,0.0,394.36074073587895,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
880.5892675304938,0.0,0.0,0.0,0.2966899537795209,Rainy,5.0,880.5892675304938,0.0,0.0,69.91957415610864,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
899.1329799471231,0.0,0.0,0.0,0.2966899537795209,Rainy,5.0,899.1329799471231,0.0,0.0,51.54222537702731,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
619.2391766521705,0.0,0.0,0.0,0.2966899537795209,Rainy,2.4292493500769266,619.2391766521705,0.0,0.0,329.9370694155846,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
250.30610693919803,0.0,0.0,0.0,0.2966899537795209,Rainy,2.556637144413522,250.30610693919803,0.0,0.0,698.718680612657,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
1199.1348836243608,0.0,0.0,0.0,0.2972176136295599,Rainy,5.0,949.1348836243608,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
1200.7889042847564,0.0,0.0,0.0,0.29837528335706154,Rainy,5.0,950.7889042847565,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
524.0725688108536,0.0,0.0,0.0,0.29837528335706154,Rainy,2.383850263568413,524.0725688108536,0.0,0.0,425.0854622275059,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
486.03993473134193,0.0,0.0,0.0,0.29837528335706154,Rainy,2.402705338846674,486.03993473134193,0.0,0.0,464.5396149824509,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
636.2982808714089,0.0,0.0,0.0,0.29837528335706154,Rainy,2.437455358769888,636.2982808714089,0.0,0.0,317.85252072588196,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
1056.0907563500489,0.0,0.0,0.0,0.29837528335706154,Rainy,5.0,951.7422494068634,0.0,0.0,0.0,104.3485069431855,0.0,0.0,135.6514930568145,0.0,0.0,0.0,10.0
1199.3479529356644,0.0,0.0,0.0,0.2989762921168634,Rainy,5.0,949.3479529356644,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
599.6723067640639,0.0,0.0,0.0,0.2989762921168634,Rainy,2.4198620816659684,599.6723067640639,0.0,0.0,352.730121080264,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
1029.235685844157,0.0,0.0,0.0,0.2989762921168634,Rainy,5.0,949.1838492539569,0.0,0.0,0.0,80.05183659020008,0.0,0.0,159.94816340979992,0.0,0.0,0.0,10.0
872.6752518517881,0.0,0.0,0.0,0.2989762921168634,Rainy,5.0,872.6752518517881,0.0,0.0,73.2484990778562,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
692.6020496085342,0.0,0.0,0.0,0.2989762921168634,Rainy,2.4646811578816856,692.6020496085342,0.0,0.0,255.38177776963096,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0
1042.0052053922022,0.0,0.0,0.0,0.2989762921168634,Rainy,5.0,946.2584161579483,0.0,0.0,0.0,95.74678923425392,0.0,0.0,144.25321076574608,0.0,0.0,0.0,10.0
